ID	YEAR	COLOR	MAKE	MODEL	PRICE	MILEAGE	COMMENTS
134438207	1999	Light Gray	Chevrolet	Tahoe	1800	137578	Motor mount is broken
134433070	2001	Blue	Ford	Windstar	1700	150827	My son used this for a project minivan, but the project was a failure
134428643	1997	Black	Kia	Sephia	3000	159189	Has some problems with the transmission
134432093	2007	Light Gray	Dodge	Grand Caravan	2100	75449	Needs a new transmission
134430370	2002	Black	Ford	Ranger	2200	78143	Engine is in great shape
134430408	1998	Brown	Mercury	Mystique	3900	72270	This sedan is my daily driver
134440122	1999	Dark Gray	Ford	Taurus	2100	2602	No food or drink has ever been in this sedan
134427628	1993	Green	Nissan	240SX	6100	109204	Has all power options available on this 240SX
134427313	2005	Light Gray	Audi	TT	10900	52458	The belt squeaks from time to time
134431632	1995	Green	Oldsmobile	Cutlass Ciera	3400	138326	It runs, but my lawyer advised me not to say more than that
134432857	2005	Black	Ford	Focus	2500	88428	Transmission needs to be replaced
134430821	2008	Brown	Chevrolet	Corvette	3200	41077	Installed a remote starter and it works great
134436178	2001	Dark Gray	Ford	Taurus	2400	36919	Bose 5.1 Surround Sound AM/FM/CD stereo
134427318	2003	Dark Gray	Honda	Odyssey	5300	56068	It has a new alternator and battery
134428929	1998	Gold	Ford	Expedition	2200	59647	Premium wood grain steering wheel
134444074	2003	Black	Bentley	Arnage	50100	2389	Mint condition
134429615	2007	Tan	Honda	Odyssey	6200	21440	Selling this cheap because my mechanic said that it needs a left-handed Knuten valve, which costs $2000
136499323	2003	Blue	Honda	Odyssey	4100	74535	Power locks
134428325	1999	Red	Oldsmobile	Intrigue	4100	55430	All new gaskets
134428536	1993	Green	Mazda	MX-3	4200	3422	This MX-3 has won awards
134434883	2007	Green	Dodge	Caravan	2100	17723	It doesn't have a windshield, so you can feel the wind in your hair
134432520	2002	Tan	Ford	Focus	2600	47929	Cruise control
134431202	1992	Red	Nissan	300ZX	6100	80079	This coupe handles perfectly in the rain or snow
134427338	2001	Black	Ford	Taurus	2000	143727	Interior is in pretty great shape
134427195	1992	Gray	Plymouth	Laser	3700	139763	Interior is in excellent condition
134428996	2002	White	Infiniti	G20	17300	198457	The brakes emit a high-pitched noise
134443780	2007	Dark Gray	Honda	Accord	6900	2590	The best Honda you'll ever see
134431494	2002	Gold	Land Rover	Freelander	7800	203687	Air conditioning is more cool than cold
134435821	2010	White	Ford	F-150	4800	35248	Has a broken compression ring
134430968	2005	Green	Chevrolet	Cavalier	2100	71765	The front is somewhat mangled
134432316	1996	Gray	Toyota	Tercel	4100	145793	The heater core is starting to leak
134431365	2002	Gray	Cadillac	Seville	6000	74915	Great on gas
134442136	2006	Gray	Audi	A6	10400	65794	This sedan has a rebuilt engine
134432185	2007	Brown	Dodge	Grand Caravan	1900	53202	Leaves a trail of blue smoke as you drive
134427373	2001	Gray	Ford	Taurus	1800	144686	Sometimes the heat does not work
134446665	1992	Dark Gray	Mazda	Miata	4300	3598	One this nice hardly ever comes up for sale
134448477	1993	White	Mazda	Protege	4000	3316	The glass on this Mazda Protege sparkles
134435186	2008	Black	Ford	Focus	3200	58163	Never been in an accident
134433798	1997	Gold	Mercury	Tracer	3500	147800	I put in a new stereo
134427748	2008	White	Chevrolet	HHR	3400	18455	Runs good
134435016	2008	Red	Ford	Focus	3600	21003	You can tilt the steering wheel
134427433	2006	Gold	Honda	Odyssey	5300	42135	Has sporty aftermarket wheels
134441002	1995	Blue	Ford	Explorer	2100	121991	Has electric seats
134432615	2003	White	Honda	Civic	5900	2763	This one has every option you need
134432911	1992	White	Mazda	Protege	3400	289835	This sedan has a cracked engine block
134430206	2002	Silver	Dodge	Viper	9500	36123	Never been wrecked
134434828	1999	Gray	Chevrolet	Suburban	2000	74553	This 4X4 is very fast
134427722	2008	Gray	Chevrolet	HHR	3400	36864	Very well maintained vehicle
134427843	2008	Red	Chevrolet	HHR	3000	94310	Back door does not open
134439208	1995	Brown	Pontiac	Grand Prix	3900	97969	Engine burns about 1 pint of oil per week
134432817	2005	Tan	Ford	Focus	2600	128871	Spits out some white smoke when you first start it up
134436884	2002	Red	Dodge	Durango	1900	62043	It is in very nice clean shape
134445574	2007	White	Chevrolet	Malibu	3700	2298	Leather interior
134434135	2004	White	Hyundai	Sonata	4800	50942	Needs a little work
134432554	2003	Dark Green	Honda	Civic	4700	147242	Most of the damage is cosmetic
134426953	2009	Red	Chevrolet	HHR	4300	21539	Everything works
134444757	2008	Blue	Honda	Civic	7200	2703	I am only selling it because I'm leaving the country
134434126	1999	Tan	Mercury	Sable	4100	45739	Everything about it is great
134433914	2006	Brown	Ford	Focus	2200	102763	Not sure what it needs to get running again
134429500	2007	Brown	Ford	Mustang	3400	40064	No leaks
134442173	1992	Green	Dodge	Dakota	1600	200207	Stereo works great
134434446	2008	Red	Dodge	Viper	17100	2408	Has all the options
134435373	1995	Silver	Mazda	626 DX	3900	104179	I hate to sell it but I need the money
134427067	1998	Brown	Chevrolet	Suburban	1800	110414	Some rust on the quarter panel
134441607	1997	Gray	Honda	Civic	4000	123247	Needs some electrical work
134427709	2008	Silver	Chevrolet	HHR	3700	30714	Brand new rims
134435213	2001	Gold	Dodge	Durango	1600	123407	Paint is all scratched up, due to a jilted lover
134429360	2002	Tan	Buick	Century	4800	77201	Tires are almost new
134433687	1992	Gold	Chevrolet	Camaro	1800	123943	Has a couple of minor chips in the paint from rocks
134448453	1994	Brown	Ford	Escort	2500	3029	Lots of high-performance upgrades
134427239	1997	Brown	Toyota	Tercel	3900	94246	The blue book says it's worth more, but I need the cash now, man
134433394	2001	Dark Gray	Dodge	Dakota	1500	182277	Leaks a little bit of transmission fluid
134435472	1995	Green	Chevrolet	Beauville Sport Van	1900	121871	This VAN does not handle well in the snow
134438105	1999	Red	Chevrolet	Tahoe	1900	110612	The key fob for the car alarm is broken
134429743	2007	Silver	Honda	Odyssey	5600	56474	My son apparently did not know you have to replace the oil
134432787	1995	Green	Oldsmobile	Achieva	3800	69742	This coupe runs well
134441025	1995	White	Ford	Explorer	2400	3254	Everything in this 4X4 is stock
134433537	2003	Light Gray	Ford	Thunderbird	2600	31718	Has a DVD player
134433405	2001	Red	Dodge	Dakota	1800	64631	No mechanical problems
134429177	2001	Gold	Ford	Focus	2100	130512	This sedan cannot go in reverse
134426896	2009	Light Gray	Chevrolet	HHR	4300	20552	In one word: quality
134426925	2009	Gold	Chevrolet	HHR	3400	75974	There's really no tread left on the tires
134439912	2009	Red	Ford	Taurus	4000	64195	Recently had a tune up and oil change
134434356	2010	Gray	Ford	F-350	5600	16878	Lots of customizations
134428277	2010	White	Ford	Fusion	5600	51364	Very clean
134436463	1990	Red	Ford	Mustang	1800	241016	The engine is a little noisy at first
134431881	2002	Red	Chevrolet	Cavalier	1900	123163	Needs a new fuel injector
134432599	2003	Gold	Honda	Civic	3900	185264	I am selling it because it won't pass inspection
134440505	2010	Red	Honda	Civic	10600	2290	Today is your lucky day
134441329	2001	Brown	Chevrolet	Malibu	2100	79905	Starts up real nice
134441254	2001	Black	Chevrolet	Malibu	2100	81096	No major issues
134428784	1997	Gray	Dodge	Stratus	1600	81962	The A/C is ice cold and the heat is blistering
134431102	2005	Silver	Chevrolet	Cavalier	2500	43464	Rides great
134452997	2010	Brown	Cadillac	Escalade	32600	2206	This Escalade has never been in the snow
134439420	1994	Gray	Mercury	Sable	3900	3389	You will probably never have another chance to find a Sable like this one
134434084	1996	Black	Dodge	Grand Caravan	1600	94144	As you know, Dodge makes a very reliable minivan
134440338	1997	White	Ford	Contour	2200	63747	All highway miles
134431273	1992	Silver	Hyundai	Scoupe	3700	154448	Paint needs some touch ups
134434510	2008	Gray	Dodge	Viper	14100	33819	Great condition overall
134427291	1997	Dark Gray	Toyota	Tercel	4800	3644	Satellite radio installed
134436582	2006	Green	Chevrolet	Monte Carlo	3000	41231	I will let you have my Garmin GPS
134428238	2010	Gray	Ford	Fusion	5600	43033	It's in pretty nice condition
134434316	2010	Brown	Ford	F-350	4600	78197	Need to sell this truck right away
134435302	2003	Red	Chevrolet	Express Van	1900	90615	If it is true that winners never quit, then this engine is not a winner
134427117	1999	Black	Chrysler	Cirrus	1900	87780	Gets great gas mileage overall
134431731	1998	White	Ford	Mustang	2200	81454	Has a full entertainment system
134438188	1999	Brown	Chevrolet	Tahoe	1900	83110	Good reliable 4X4 at a fair price
134436358	1999	Blue	Ford	Econoline	2200	53480	This VAN handles great in the snow
